Model,Source,VideoID,Comment,Likes,PublishedAt
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Anyone know an app for these earphones for iOS,0,2022-07-21T20:30:41Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,no sound test,1,2022-07-15T06:52:44Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"The Redmi buds 3 pro and galaxy buds 2 now have same price, Does any one tell me which better please :( Thanks",0,2022-06-06T09:16:30Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Anyone has touch issues on the right bud. It keeps getting annoy .,0,2022-05-28T14:44:56Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,I baught these and not satisfied with the sound quality.,0,2022-05-20T05:19:41Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Could we control Next/Previous button with device touch sensor?,0,2022-04-29T06:25:50Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,thanks. huawei 4i is better. its just $6 more in my country vs this.,0,2022-04-21T08:56:14Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,ONE QUESTION: Is the Noise Cancelling or Transparency Mode activable while using ONLY ONE bud?,1,2022-04-20T10:56:31Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Nice. Your call quality seems good but another review sound bad and the youtuber is not recommending for conference calls on zoom. Confused 🙄,0,2022-03-26T12:24:21Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"Can I switch connection to another device without manual disconnect with previous devices. 
Scenarios is Earbuds is connecting with Device A (phone or PC), then I can enable the connection with earbuds from Device B, doesn't need to disconnect from device A?",0,2022-03-23T03:09:04Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Can i connect them to a 5.0 Bluetooth device,0,2022-03-16T12:40:10Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"Finally someone with the Chinese variant of the Mi 11 Ultra showcasing the global version of these working with the built-in app. It sealed my purchase, so I just bought the global version from Ali for $45.79.",5,2022-03-11T12:11:12Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"So, can I use all the functionalities with a Xiaomi mi mix 3? (MIUI global 12.0.2)",0,2022-03-07T08:51:27Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Does these Work With any phone?,0,2022-03-04T22:43:24Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,These earbuds are Trash... Very quiet and  anc doesnt work. The mic Quality is so low. Changed back to Samsung Galaxy buds,0,2022-03-01T11:12:00Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,What about using it with a Galaxy S10? Noise cancelling and transparency can be activated and switched?,0,2022-02-20T14:16:43Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Do anyone knows when I can find a frequency response graph of this??,0,2022-02-12T13:21:30Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,I love how the buds 3 pro have  proper packaging while the buds 3 lite just come in a little plastic baggie,6,2022-02-05T00:49:19Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,I like how detailed this review is. Thank you!,1,2022-02-01T04:46:51Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Did not expect that good of a microphone,4,2022-01-28T14:49:35Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Is that software also available on IOS?,0,2022-01-27T20:44:32Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Please.... which is the better choice between : Realme Buds Air 2 and Redmi Buds 3 Pro ???,0,2022-01-23T09:50:33Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,I want my buds to disconnect when they are in the charging case but they don't. Any help please?,0,2022-01-15T13:47:03Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"Hey Nick, nice review! I've subscribed. So, can you accept / end calls by touch gestures? I think this is the most important for me!
Thanks, keep up the good work!",1,2022-01-09T18:03:45Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,This or realme air buds 2,0,2022-01-09T03:23:44Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Can it connect with nfc?? Please someone respond,0,2022-01-02T22:33:50Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Can someone tell me what is the exact function of the button at the charging case?,0,2021-12-30T22:26:26Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,One ear is stronger than the other,0,2021-12-25T10:12:49Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"I have been using this for a few months now, here's my short review:

Sound: Clear voice, sharp and loud. Bass is quite soft.
ANC: Works realy good
Mic: The best so far. I have been using them for meetings. The voice are clear and I think they block noise as well.
Battery: this is the only problem that I have with the earbuds. it only lasted around 2h - 3h from a single use. if i have a back to back meetings, it's a bad news! 

Overall, for the affordable price it offers a great exprience! Really recommended. And I was surprised to know that it has wireless charging from this video. Now I can charge it with my samsung phone. LOL",7,2021-12-24T15:09:59Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,How did you enter in the settings? I'm on a Xiaomi device,0,2021-12-22T13:29:28Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"$60, $73, $80, whatever, I'm off to load my netspend card & buy these bad boys.",0,2021-12-22T03:50:00Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Where did you get this app ... how I can get this application to control my earphone,1,2021-12-20T16:55:35Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,3:48 what app is that?,0,2021-12-18T19:30:03Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,What's the application you are using for the bud 3 pro?,2,2021-12-10T17:05:27Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,What’s the app called for IPhone,0,2021-12-04T07:01:35Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Are this redmi bud sound better thn Huawei freebuds pro?,0,2021-12-02T16:19:00Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,How do i open redmi buds settings ?,0,2021-12-02T11:32:49Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Nice review thanks ;),0,2021-11-26T10:42:34Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,03:43 how u enter in this menu,0,2021-11-16T20:01:51Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,How you can have pop up option on the phone? Thanks,0,2021-11-13T17:42:58Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,what apps do u use pls answer,0,2021-11-12T16:35:16Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"*Pressing and holding either earbud only enables switching between Deep ANC mode and Transparency mode by default. Only Xiaomi, Redmi cellphones with the latest MIUI versions are able to change settings for Adaptive ANC mode, 3 ANC modes, 2 transparency modes and wake-up voice control and Find your earphones. Compatible models: Mi 11, Mi 11 Lite, POCO X3 GT, POCO F3.
*Only Xiaomi, Redmi cellphones with the latest MIUI versions support MIUI Pop-up for Quick Pairing. Compatible models: Mi 11 Ultra, Mi 11, Mi 11 Lite, Redmi note 10 Pro, Redmi note 10S, Redmi note 10 5G, Mi 10T, POCO F3, POCO X3 GT, Mi 10 Pro, Mi 10.",3,2021-11-12T10:23:00Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Any idea how to pair them to my laptop Lenovo Thinkpad since it ask me for password for my device and I can't get which device it means when it's not my laptop password?,1,2021-11-09T21:47:53Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Can I pair them with my smart TV? 🤔,0,2021-11-05T16:19:38Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,sound quality does not seem to be important to you.,0,2021-11-04T21:32:11Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Where can i find the app? I am using samsung but unable to control it using redmi buds 3pro..please help,0,2021-11-04T13:56:03Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"I can't find the app, where can I download it",2,2021-11-04T12:39:34Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"your review are amazing , the mic test i love it so much , its just like studio mic , i decide to get 1 for myself today",2,2021-11-04T06:36:46Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Can someone please tell which adapter should be used to charge the case of Redmi Buds 3 Pro? I am confused due to the voltage/watts,1,2021-10-15T09:00:07Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"shiite rewiev tbh, I'd like to know how they sound like, that's tbh the most important thing, unless you listen to pathetic mainstream radio music.",0,2021-10-13T12:39:58Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,How can i download application,0,2021-10-10T16:02:08Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"Bro, i'll be honest. This review is just insane and awesome. U told me so much!!! Thank u, really!",32,2021-10-10T11:31:20Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,How to get in the settings Im using Redmi Note 9s,0,2021-10-10T05:55:56Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Mi buds M8 is the app to use for this features,0,2021-10-08T19:12:07Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,What apps did u use to set ur redmi buds?,0,2021-10-08T07:16:14Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Does the earbud block out keyboard typing sound? Can the caller hear the other person typing?,0,2021-10-07T15:44:51Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"So, this Buds 3 Pro features he is presenting will work ONLY with XIAOMI smartphones. For the rest of the phones, you can only adjust the volume and that is all. Classic advertising without mentioning the bad parts of the product! 😀",27,2021-10-07T13:17:25Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Is there any software that we should download? I never had that settings on 3:41 before.,0,2021-10-05T13:49:54Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"kak, ini redmi buds 3 Pro kok nda bisa dihubungkan ke laptop ya?
kalo ke HP bisa.
kalo ke Laptop/PC bisa pair se, sudah muncul tulisan Paired, tp nda bisa di connect kan",0,2021-10-04T01:17:58Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Wait what app are you using to control them?,0,2021-10-03T22:19:58Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,What's app did you use ? It's native app from Bluetooth settings?,1,2021-10-01T00:10:37Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Hello! I like your wallpaper,0,2021-09-28T13:41:37Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Where is the app,0,2021-09-26T18:11:44Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"You stupid,  it's not a review. It's a blind marketing. That's all.",0,2021-09-25T20:51:40Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Can each buds use independent?,0,2021-09-24T12:10:04Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"Great review.
I am currently using redmi earbuds 2 and they don't support caller id announcement in earbuds. Do buds 3 pro announce the name of caller?",0,2021-09-24T04:58:20Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Chinese are just so blatant. Using Buds3 as the name lol. Where's Buds2?,0,2021-09-24T01:55:09Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Review of earbuds but no mention of how the sound is actually like. All was shown is the features.,0,2021-09-23T05:46:50Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Do those have mic?,0,2021-09-23T03:57:35Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"Man I got them but I don't find the app, where is it, what is the name?",0,2021-09-21T16:37:27Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Only 2 audio codec...SBC n' AAC..,0,2021-09-20T17:40:43Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,What app is you using for the earbud?,0,2021-09-20T16:43:51Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,How is the app with which you can control them called?,1,2021-09-19T14:42:35Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Zmi purpods pro  vs these?,0,2021-09-19T07:31:35Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,You need miui 12.5 for use the app of the buds ://,0,2021-09-16T20:14:31Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,which Xiaomi phone model is used in this review?,0,2021-09-10T08:08:49Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Is it better than Realme Buds???,0,2021-09-03T08:14:33Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"A message to everyone who was wondering which ""app"" Nick is using. It's not an app. It's neither the MI AI app or any other external app. It is or it will be a system feature on Xiaomi devices. The Xiaomi support told me that they will roll out software updates with those customization features in the bluetooth settings soon. We'll just have to be patient and wait for the updates to come. It seems so that Nick's phone already got the corresponding update.",45,2021-09-02T08:40:45Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,where did you get the app from?,0,2021-09-01T07:09:39Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Do they work with Siri?,0,2021-08-31T21:17:58Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Mic is so good thou,0,2021-08-31T10:03:29Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Haha cool,0,2021-08-30T14:38:07Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"I have a Xiaomi phone but I can't seem to get the pop up which allows you to control them, any ideas why?",0,2021-08-29T12:13:35Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"Hello, I just received the Buds 3 Pro; I have a Redmi Note 10 with MIUI 12.5 but there is no setting which allows in particular to completely cut the ANC; I do not understand ; are these settings reserved for the chinese market?",1,2021-08-27T16:18:16Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"what's the app you're using ? i have i redmi note 9 pro, i can't find the app thank you",0,2021-08-27T11:49:50Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Amazing Product !,1,2021-08-27T09:43:40Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"Are you kidding us?? 30 people asked which app you use, and no answer!!",15,2021-08-26T20:24:51Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,U missed out on the most important part about a earbuds video which is sound quality? What the.. more than anything u should've explained the sound quality better since that's where it matters,0,2021-08-24T00:30:12Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,how is your MI AI english ???,1,2021-08-22T15:44:42Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,How to download the app? Plz help me,2,2021-08-21T10:57:48Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,How to get the mi ai English version,1,2021-08-21T08:24:46Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,May I know which app for Buds 3 pro control panel?,1,2021-08-20T17:17:35Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,I wish there was an indication of the charge level of the buds while in the case.,3,2021-08-19T04:50:28Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Many have asked which companion app these headsets are used with. No answer. I got ones and only guess they need the right phones for the features to appear.,1,2021-08-16T11:05:17Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Where did you download the app to control ANC and Transparency modes?,5,2021-08-15T18:33:07Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"dude stop pausing frames within the video, legit feels like my video is buffering",0,2021-08-14T19:59:34Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,What app are you using with it? There is difference betwin Chines and Global version ? Looks like you are using the global and app in English,1,2021-08-12T18:43:13Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"How are these for calling. As the mic is really far from mouth.
I feel the design with long tails should be better for audio calling. 
What do u think ?",0,2021-08-12T08:57:47Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,That mic quality is outstanding....,8,2021-08-09T14:05:40Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"u didn’t talk about sound quality,  bass, treble etc.",0,2021-08-07T17:13:29Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Which app are you using for the controls?,23,2021-08-04T18:49:38Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"What app are you using with it?

I can't seem to find it anywhere!!",30,2021-08-04T18:39:28Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"Hey nick!
What app are you using to change transparency mode and tap controls etc.? Cant find it.",25,2021-08-03T17:16:33Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,How is that your miui ai app is in English but mine is in Chinese and I legit don't understand anything as I'm not Chinese.,12,2021-08-02T09:56:31Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Yessssss Wanted this review so much,3,2021-08-01T21:03:40Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,How to buy this in Pakistan bro ❓ pls reply🙋🏻‍♂️,0,2021-08-01T07:46:07Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"Sadly you didn't said much about the sound profile and the performance of the ANC. 
What about the highs and mids? Is the ANC good compared to AirPods Pro for example?
Still great video tho👍",37,2021-07-30T22:06:00Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"Every youtuber right now : nothing ear 1

Meanwhile Nick : nah I've got the redmis",1,2021-07-30T03:01:06Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,big fan bro,2,2021-07-30T02:52:38Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Got these for 37€ not bad,0,2021-07-29T14:30:28Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Can you review qcy t13???😧😧😧,0,2021-07-29T12:11:24Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,we love the colour of the buds... classy,0,2021-07-28T19:13:29Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,What is the app name?,11,2021-07-28T18:50:35Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Holly 383 likes only since when,0,2021-07-28T01:22:51Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,So can you use the buds as wireless mics for vlogging with Xiaomi phones and their camera app?,9,2021-07-27T21:15:28Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Awesome my Nick❣️❣️❣️❣️,0,2021-07-27T19:39:45Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,2:07 - can anyone explain me the difference? Difference between Battery Life on single charge? Battery life with case? I'm unable to understand what it means.,1,2021-07-27T14:56:57Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,The best review of redmi buds 3 pro in the best hands 🥰❤️🔥🤩,6,2021-07-27T14:14:39Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"Hello 
Please a little request
Can you review the Xiaomi mi 11 test ( especially the pubg test)
There new update for every game so maybe the fps is better",1,2021-07-27T14:14:00Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,This would be good for my Mi 10t Pro tho..using a Redmi Airdots S and pretty satisfied with the sound quality..only thing is the controls is too basic..this ought to be a good replacement/upgrades..,9,2021-07-27T13:54:37Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,What about the sound quality? Bass and Treble?,0,2021-07-27T13:34:16Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Waiting for OnePlus Nord 2 review from Nick,0,2021-07-27T13:24:53Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,OMG you are so handsome 😍 thanks for the review,1,2021-07-27T13:15:21Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"listening with my airdots 3 pro grey,, I can tell this is premium",7,2021-07-27T13:15:11Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,How much it price?,0,2021-07-27T12:55:01Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Looks like a Pixel buds case copy 👀,2,2021-07-27T12:35:21Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Finally he remembered his channel 🤣🤣🤣,55,2021-07-27T11:38:06Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,I think you should have discussed about the price,0,2021-07-27T11:33:43Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Bro when GT master exploration edition unboxing,2,2021-07-27T11:23:40Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,What wireless earbud are you using right now for daily listening?,1,2021-07-27T11:15:36Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"The Price Tag seems suspicious. 🤔 
69 💶?!",0,2021-07-27T11:15:27Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"Great Video can I win this from you?
 I have been subscribed since last year's. And I've faced a lot of challenges with fake earbuds...",1,2021-07-27T11:10:04Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Long time no see,0,2021-07-27T11:08:34Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,The case looks legit like the OnePlus buds that i have,10,2021-07-27T11:08:21Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,"👍🏽
30",0,2021-07-27T11:06:52Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Pretty big box for small headphones lol,0,2021-07-27T11:04:48Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Where Nord 2 ??????????,0,2021-07-27T11:04:04Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,sa,2,2021-07-27T11:03:15Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,first bro,1,2021-07-27T11:03:02Z
Redmi Buds 3 Pro,YouTube,q-OUedQ7zwc,Where is the video of Realme Explorer edition unboxing and Realme master edition,1,2021-07-27T11:02:54Z
